step,epoch,epoch_step,loss,learn_rate
157001,2,36511,0.1426984,0.005
157501,2,37011,0.1469711,0.005
158001,2,37511,0.2164053,0.005
158501,2,38011,0.1543083,0.005
159001,2,38511,0.1589742,0.005
159501,2,39011,0.1606269,0.005
160001,2,39511,0.1910303,0.005
160501,2,40011,0.1172996,0.005
161001,2,40511,0.1373845,0.005
161501,2,41011,0.1884846,0.005
162001,2,41511,0.0765461,0.005
162501,2,42011,0.1716791,0.005
163001,2,42511,0.1129687,0.005
163501,2,43011,0.1633754,0.005
164001,2,43511,0.1751913,0.005
164501,2,44011,0.0819300,0.005
165001,2,44511,0.1853816,0.005
165501,2,45011,0.1394626,0.005
166001,2,45511,0.1109044,0.005
166501,2,46011,0.1432973,0.005
167001,2,46511,0.1088746,0.005
167501,2,47011,0.1151778,0.005
168001,2,47511,0.1572389,0.005
168501,2,48011,0.1277559,0.005
169001,2,48511,0.1560043,0.005
169501,2,49011,0.1669519,0.005
170001,2,49511,0.1474412,0.005
170501,2,50011,0.1315584,0.005
171001,2,50511,0.1019814,0.005
171501,2,51011,0.1586424,0.005
172001,2,51511,0.1494969,0.005
172501,2,52011,0.1682530,0.005
173001,2,52511,0.1629251,0.005
173501,2,53011,0.1745491,0.005
174001,2,53511,0.1494091,0.005
174501,2,54011,0.1020265,0.005
175001,2,54511,0.1541898,0.005
175501,2,55011,0.1588768,0.005
176001,2,55511,0.1560100,0.005
176501,2,56011,0.0883946,0.005
177001,2,56511,0.1277957,0.005
177501,2,57011,0.1587332,0.005
178001,2,57511,0.0894337,0.005
178501,2,58011,0.1571513,0.005
179001,2,58511,0.1348147,0.005
179501,2,59011,0.1527126,0.005
180001,2,59511,0.1229024,0.005
180501,2,60011,0.1668324,0.005
